GrpCode,MenuCode,GroupName,ChineseGroupName,Name,ChineseName,PNU,DefaultValue,Min,Max,UnitConv,Unit,Scale,Datatype,Enum,ChineseEnum,ModelCodeValue,ReadOnly,Help,LicenseKey,User,BitPosition,DefaultAccess,Decimal,LockedByMainSwitch,Visibility,VariableName,ChineseHelp,QuickParameters
"Rxx","R012","Reference","参考","Main switch","主开关","3001","0.0","0.0","1.0","","","","Enum","0:Off,1:On","0:关,1:在","7","0","Injection control ON/OFF","","1,2,3","","","1.0","0","","Par_main_switch","Injection control ON/OFF
With this setting, refrigeration can be started and stopped. Injection control ON/OFF can also be accomplished with the external Digital input DI switch function. 



",""
"Rxx","R102","Reference","参考","Operation mode","工作模式","3002","0.0","0.0","1.0","","","","Enum","0:SH control,1:Valve driver","0:SH 控制,1:阀驱动器","7","0","EKE can be used as superheat controller or as a driver. Select how you want to configure the controller in the system.","","1,2,3","","","1.0","1","","Par_Operation_mode","EKE can be used as superheat controller or as a driver. Select how you want to configure the controller in the system.","QuickScreen1Parameter_1"
"Rxx","O061","Reference","参考","Application select","应用场合选择","3003","0.0","0.0","5.0","","","","Enum","0:ChillerPlate,1:AirCoil frost,2:AirCoil,3:HP A2W,4:HP W2W,5:Gen. SH Ctrl.","0:冷水机,1:风盘防冻,2:风盘,3:风-水热泵,4:水-水热泵,5:常规过热度控制","7","1","Selection of application
The controller can be defined in various application mode. Here you set the desired application, the controller will auto tune the PI values based on selected application.
This menu can only be set when regulation is stopped, i.e. “main switch” is set to 0.



","","1,2,3","","","1.0","1","0","Par_ApplicationSelect","Selection of application
The controller can be defined in various application mode. Here you set the desired application, the controller will auto tune the PI values based on selected application.
This menu can only be set when regulation is stopped, i.e. “main switch” is set to 0.



","QuickScreen1Parameter_2"
"Rxx","R100","Reference","参考","Compressor capacity","压缩机能力","4001","0.0","0.0","100.0","","%","","Float","","","7","1","Via bus communication, the compressor capacity is reported for the superheat regulation to adapt actual compressor 0-100%.","","1,2,3","","","10.0","0","0","Par_Compressor_Capacity","Via bus communication, the compressor capacity is reported for the superheat regulation to adapt actual compressor 0-100%.",""
"Rxx","R015","Reference","参考","Sensor select","传感器选择","3004","0.0","0.0","1.0","","","","Enum","0:S3,1:S4","0:S3,1:S4","7","0","Not valid for EKE 1A.
Its optional to connect a media sensor. Media sensor will be used to measure media temperature (air or water). Depending on needs it is placed on inlet or outlet of evaporator
0: S3 media inlet
1: S4 media outlet","","1,2,3","","","1.0","1","Par_Operation_mode == 0","Par_SensorSelect","Not valid for EKE 1A.
Its optional to connect a media sensor. Media sensor will be used to measure media temperature (air or water). Depending on needs it is placed on inlet or outlet of evaporator
0: S3 media inlet
1: S4 media outlet","QuickScreen2Parameter_7"
"Rxx","R014","Reference","参考","Thermostatic mode","恒温模式","3005","0.0","0.0","2.0","","","","Enum","0:Not Used,1:CutIn/CutOut,2:MTR","0:Not Used,1:未使用通电/关断,2:MTR","7","0","Use for controlling media temperature
0 not used:  No media temperature control, only the superheat is regulated
1 Cutin/Cutout:  media temperature control based on temperature setpoint and differential as well as regulation of superheat. 
2 MTR: Modulating thermostat , active evaporator area is adjusted to match cooling demand, reference is temperature setpoint + ½ differential","","1,2,3","","","1.0","1","Par_Operation_mode == 0","Par_Thermostatic_mode","Use for controlling media temperature
0 not used:  No media temperature control, only the superheat is regulated
1 Cutin/Cutout:  media temperature control based on temperature setpoint and differential as well as regulation of superheat. 
2 MTR: Modulating thermostat , active evaporator area is adjusted to match cooling demand, reference is temperature setpoint + ½ differential","QuickScreen2Parameter_4"
"Rxx","R101","Reference","参考","Temperature setpoint","温度设定点","3006","3.0","-70.0","70.0","","°C","","Float","","","7","0","This  parameter is to be used if thermostatic mode has been enabled. This is a reference value to maintain the temperature of the media to a desired temperature level.","","1,2,3","","","10.0","0","Par_Operation_mode == 0 && Par_Thermostatic_mode != 0","Par_Temperature_Setpoint","This  parameter is to be used if thermostatic mode has been enabled. This is a reference value to maintain the temperature of the media to a desired temperature level.","QuickScreen2Parameter_5"
"Rxx","R001","Reference","参考","Differential","回差","3007","2.0","0.1","10.0","","K","","Float","","","7","0","When the temperature is higher than the reference plus the set differential the super control will start. It will become deactivated when the temperature drops below the set reference.","","1,2,3","","","10.0","0","Par_Operation_mode == 0 && Par_Thermostatic_mode != 0","Par_Differential","When the temperature is higher than the reference plus the set differential the super control will start. It will become deactivated when the temperature drops below the set reference.","QuickScreen2Parameter_6"
"Rxx","R006","Reference","参考","Ext. ref offset max.","外部参考 标准 偏移量最大值","3008","0.0","-50.0","50.0","","K","","Float","","","7","0","External contribution to the reference 
This setting determines how large a contribution is to be added to the set setpoint when the input signal is max.","","1,2,3","","","10.0","0","Par_Operation_mode == 0 && Par_Mapping_AI4 == 1","Par_Ext_Ref_Offset_Max","External contribution to the reference 
This setting determines how large a contribution is to be added to the set setpoint when the input signal is max.",""
"Rxx","R106","Reference","参考","Ext. ref offset min","外部参考 标准 偏差最小值","3009","0.0","-50.0","50.0","","K","","Float","","","7","0","External contribution to the reference 
This setting determines how large a contribution is to be added to the set setpoint when the input signal is min. ","","1,2,3","","","10.0","0","Par_Operation_mode == 0 && Par_Mapping_AI4 == 1","Par_Ext_Ref_Offset_Min","External contribution to the reference 
This setting determines how large a contribution is to be added to the set setpoint when the input signal is min. ",""
"Rxx","R009","Reference","参考","S2 Correction","S2修正","3010","0.0","-10.0","10.0","","K","","Float","","","7","0","Correction of signal from S2
(Compensation possibility through long sensor cable).","","1,2,3","","","10.0","0","Par_Operation_mode == 0","Par_S2_Correction","Correction of signal from S2
(Compensation possibility through long sensor cable).",""
"Rxx","R010","Reference","参考","S3 Correction","S3修正","3011","0.0","-10.0","10.0","","K","","Float","","","7","0","Correction of signal from S3
(Compensation possibility through long sensor cable).","","1,2,3","","","10.0","0","Par_Operation_mode == 0 && (Par_Mapping_AI1 == 1 || Par_Mapping_AI5 == 1)","Par_S3_Correction","Correction of signal from S3
(Compensation possibility through long sensor cable).",""
"Rxx","R105","Reference","参考","S4 Correction","S4修正","3012","0.0","-10.0","10.0","","K","","Float","","","7","0","Correction of signal from S4
(Compensation possibility through long sensor cable).","","1,2,3","","","10.0","0","Par_Operation_mode == 0 && (Par_Mapping_AI1 == 2 || Par_Mapping_AI5 == 2)","Par_S4_Correction","Correction of signal from S4
(Compensation possibility through long sensor cable).",""
"Rxx","R107","Reference","参考","Pe Correction","Pe 修正","3013","0.0","-5.0","5.0","","barg","","Float","","","7","0","Correction of signal from Pe","","1,2,3","","","10.0","0","Par_Operation_mode == 0","Par_P0_Correction","Correction of signal from Pe",""
"Rxx","R108","Reference","参考","Pc Correction","Pc 修正","3014","0.0","-5.0","5.0","","barg","","Float","","","7","0","Correction of signal from Pc","","1,2,3","","","10.0","0","Par_Operation_mode == 0 && Par_Mapping_AI4 == 2","Par_Pc_Correction","Correction of signal from Pc",""
"Rxx","N100","Reference","参考","MTR Tn","MTR 积分时间常数","3015","1800.0","20.0","3600.0","","","","INT","","","7","0","Integration time for  MTR. Use long integration time  for S3 sensor and short for S4 sensor
Expert setting for injection function
The value should only be changed by specially trained staff.","","1,2,3","","","1.0","0","Par_Operation_mode == 0 && Par_Thermostatic_mode == 2","Par_MtrCtrl_Tn","Integration time for  MTR. Use long integration time  for S3 sensor and short for S4 sensor
Expert setting for injection function
The value should only be changed by specially trained staff.",""
"Rxx","N101","Reference","参考","MTR Kp","MTR 比例常数","3016","3.0","0.2","20.0","","","","Float","","","7","0","Amplication factor for MTR
Expert setting for injection function
The value should only be changed by specially trained staff.","","1,2,3","","","10.0","0","Par_Operation_mode == 0 && Par_Thermostatic_mode == 2","Par_MtrCtrl_Kp","Amplication factor for MTR
Expert setting for injection function
The value should only be changed by specially trained staff.",""
"Nzz","O030","Control Basic","基本控制","Refrigerant","制冷剂","3017","0.0","0.0","42.0","","","","Enum","0:Undef,1:R12,2:R22,3:R134a,4:R502,5:R717,6:R13,7:R13b1,8:R23,9:R500,10:R503,11:R114,12:R142b,13:R user,14:R32,15:R227,16:R401A,17:R507,18:R402A,19:R404A,20:R407C,21:R407A,22:R407B,23:R410A,24:R170,25:R290,26:R600,27:R600a,28:R744,29:R1270,30:R417A,31:R422A,32:R413A,33:R422D,34:R427A,35:R438A,36:XP10,37:R407F,38:R1234ze,39:R1234yf,40:R448A,41:R449A,42:R452A","0:Undef,1:R12,2:R22,3:R134a,4:R502,5:R717,6:R13,7:R13b1,8:R23,9:R500,10:R503,11:R114,12:R142b,13:R user,14:R32,15:R227,16:R401A,17:R507,18:R402A,19:R404A,20:R407C,21:R407A,22:R407B,23:R410A,24:R170,25:R290,26:R600,27:R600a,28:R744,29:R1270,30:R417A,31:R422A,32:R413A,33:R422D,34:R427A,35:R438A,36:XP10,37:R407F,38:R1234ze,39:R1234yf,40:R448A,41:R449A,42:R452A","7","0","Refrigerant setting
Before refrigeration can be started, the refrigerant must be defined. You can select the following refrigerants:
1=R12.  2=R22.  3=R134a.  4=R502.  5=R717.  6=R13.  7=R13b1.  8=R23.  9=R500.  10=R503.  11=R114.  12=R142b. 13=User defined. 14=R32. 15=R227.  16=R401A.  17=R507. 18=R402A.  19=R404A. 20=R407C.  21=R407A.  22=R407B.  23=R410A.  24=R170.  25=R290.  26=R600.  27=R600a.  28=R744.  29=R1270. 30=R417A. 31=R422A. 32=R413A. 33=R422D. 34=R427A. 35=R438A. 36=R513A. 37=R407F. 38=R1234ze. 39=R1234yf. 40=R448A. 41=R449A. 42=R452A.
(Warning: Wrong selection of refrigerant may cause damage to the compressor).","","1,2,3","","","1.0","1","Par_Operation_mode == 0","Par_Refrigerant","Refrigerant setting
Before refrigeration can be started, the refrigerant must be defined. You can select the following refrigerants:
1=R12.  2=R22.  3=R134a.  4=R502.  5=R717.  6=R13.  7=R13b1.  8=R23.  9=R500.  10=R503.  11=R114.  12=R142b. 13=User defined. 14=R32. 15=R227.  16=R401A.  17=R507. 18=R402A.  19=R404A. 20=R407C.  21=R407A.  22=R407B.  23=R410A.  24=R170.  25=R290.  26=R600.  27=R600a.  28=R744.  29=R1270. 30=R417A. 31=R422A. 32=R413A. 33=R422D. 34=R427A. 35=R438A. 36=R513A. 37=R407F. 38=R1234ze. 39=R1234yf. 40=R448A. 41=R449A. 42=R452A.
(Warning: Wrong selection of refrigerant may cause damage to the compressor).","QuickScreen1Parameter_3"
"Nzz","O100","Control Basic","基本控制","Antonie constant A1","Antonie 常数A1","3018","9.8","8.0","12.0","","","","Float","","","7","0","Antoine constant A for user defined/new refrigerant.  Set parameter O030 = 13, before defining this value","","1,2,3","","","1000.0","1","Par_Operation_mode == 0 && Par_Refrigerant == 13","Par_Refrigerant_A1","Antoine constant A for user defined/new refrigerant.  Set parameter O030 = 13, before defining this value","QuickScreen1Parameter_4"
"Nzz","O101","Control Basic","基本控制","Antonie constant A2","Antonie 常数A2","3019","-2250.0","-3000.0","-1300.0","","","","Float","","","7","0","Antoine constant B for user defined/new refrigerant.Set parameter O030 = 13, before defining this value","","1,2,3","","","10.0","1","Par_Operation_mode == 0 && Par_Refrigerant == 13","Par_Refrigerant_A2","Antoine constant B for user defined/new refrigerant.Set parameter O030 = 13, before defining this value","QuickScreen1Parameter_5"
"Nzz","O102","Control Basic","基本控制","Antonie constant A3","Antonie 常数A3","3020","253.0","210.0","300.0","","","","Float","","","7","0","Antoine constant C for user defined/new refrigerant. Set parameter O030 = 13, before defining this value","","1,2,3","","","10.0","1","Par_Operation_mode == 0 && Par_Refrigerant == 13","Par_Refrigerant_A3","Antoine constant C for user defined/new refrigerant. Set parameter O030 = 13, before defining this value","QuickScreen1Parameter_6"
"Nzz","O103","Control Basic","基本控制","Refrigerant min. temperature","制冷剂最低温度","3021","-100.0","-100.0","100.0","","°C","","Float","","","7","0","The minimum temperature for  user defined refrigerant. Set parameter O030 = 13, before defining this value","","1,2,3","","","10.0","1","Par_Operation_mode == 0 && Par_Refrigerant == 13","Par_Refrigerant_T_Min","The minimum temperature for  user defined refrigerant. Set parameter O030 = 13, before defining this value",""
"Nzz","O104","Control Basic","基本控制","Refrigerant max. temperature","制冷剂最高温度","3022","100.0","-100.0","100.0","","°C","","Float","","","7","0","The maximum temperature for the  user defined refrigerant. Set parameter O030 = 13, before defining this value","","1,2,3","","","10.0","1","Par_Operation_mode == 0 && Par_Refrigerant == 13","Par_Refrigerant_T_Max","The maximum temperature for the  user defined refrigerant. Set parameter O030 = 13, before defining this value",""
"Nzz","N102","Control Basic","基本控制","Startup mode","启动模式","3023","0.0","0.0","2.0","","","","Enum","0:Prop. Ctrl,1:Fix OD w prot,2:Fix OD wo prot","0:比例CTRL ,1:固定 OD W 玂护,2:固定 OD 不会玂护","7","0","Selection of different startup modes.
0 = Prop. Ctrl : The controller is programmed for automatic proportional control, OD will change fast based on Te and SH
 1 = Start opening degree with protection: Start valve opening degree (OD), where OD can be change due to low superheat, MOP, and other limiters. 
2: Fixed defined: fixed defined valve opening degree (OD),which is unchanged during startup time. 

This feature is used when it is necessary to open the valve quickly when the compressor turns on , to prevent too low suction pressure.","","1,2,3","","","1.0","0","Par_Operation_mode == 0","Par_Startup_Mode","Selection of different startup modes.
0 = Prop. Ctrl : The controller is programmed for automatic proportional control, OD will change fast based on Te and SH
 1 = Start opening degree with protection: Start valve opening degree (OD), where OD can be change due to low superheat, MOP, and other limiters. 
2: Fixed defined: fixed defined valve opening degree (OD),which is unchanged during startup time. 

This feature is used when it is necessary to open the valve quickly when the compressor turns on , to prevent too low suction pressure.",""
"Nzz","N015","Control Basic","基本控制","Startup time","启动时间","3024","90.0","1.0","600.0","","s","","INT","","","7","0","Start-up time for superheat control. 

With Proportional startup i.e P-control, auto superheat control will start when superheat is down at reference or when startup time is exceeded.

For Start opening degree with protection or fixed opening degree without protection, the auto superheat control starts once the start up time is expired.
","","1,2,3","","","1.0","0","Par_Operation_mode == 0","Par_StartUpTime","Start-up time for superheat control. 

With Proportional startup i.e P-control, auto superheat control will start when superheat is down at reference or when startup time is exceeded.

For Start opening degree with protection or fixed opening degree without protection, the auto superheat control starts once the start up time is expired.
",""
"Nzz","N104","Control Basic","基本控制","Min. startup time","最小启动时间","3025","15.0","1.0","240.0","","s","","INT","","","7","0","For proportional startup this is the minimum startup time, used for to get stable signal on sensors","","1,2,3","","","1.0","0","Par_Operation_mode == 0 && Par_Startup_Mode == 0","Par_Minimum_Startup_Time","For proportional startup this is the minimum startup time, used for to get stable signal on sensors",""
"Nzz","N017","Control Basic","基本控制","Startup OD","启动预开度","3026","32.0","1.0","100.0","","%","","INT","","","7","0","Starting opening degree of valve. 
For startup mode, this OD will be fixed during startup time, except for overrides by SH close, LOP, MOP. etc.
With Proportional startup, ""Startup OD"" is starting point for control.","","1,2,3","","","1.0","0","Par_Operation_mode == 0","Par_StartUpOd","Starting opening degree of valve. 
For startup mode, this OD will be fixed during startup time, except for overrides by SH close, LOP, MOP. etc.
With Proportional startup, ""Startup OD"" is starting point for control.",""
