Controller family,Object Name,Action,ToolTip/Name,Value,value1
"ERC11x,EET,EKE1x,AK-CC55,ERC21x,ETC1Hx",Product Info Name 0,Text,,Product Name :,
"ERC21x,ETC1Hx",Product Info Name 1,Text,,Application :,
"ERC11x,EET,EKE1x,AK-CC55",Product Info Name 1,Text,,Code Number :,
EKE1x,Product Info Name 2,Text,,Product Version :,
ERC21x,Product Info Name 2,Text,,Code Number :,
"ERC11x,EET,AK-CC55",Product Info Name 2,Text,,Software Version :,
ETC1Hx,Product Info Name 3,Text,,Code Number :,
"ERC11x,EET",Product Info Name 3,Text,,Product Version :,
"ERC11x,EET,EKE1x,AK-CC55,ERC21x,ETC1Hx",Product Info Value 0,Text,,Dynamic_controllerVariant,
"ERC21x,ETC1Hx",Product Info Value 1,Text,,Dynamic_controllerApplication,
"ERC11x,EET,EKE1x,AK-CC55",Product Info Value 1,Text,,Dynamic_controllerCodeNo,
ERC21x,Product Info Value 2,Text,,Dynamic_controllerCodeNo,
"ERC11x,EET,AK-CC55",Product Info Value 2,Text,,Dynamic_controllerSV,
EKE1x,Product Info Value 2,Text,,Dynamic_controllerPV,
"ERC11x,EET",Product Info Value 3,Text,,Dynamic_controllerPV,
"ERC11x,EET,EKE1x,AK-CC55,ERC21x,ETC1Hx",KoolProg Left Image,verify_Image,,,
"ERC11x,EET,EKE1x,AK-CC55,ERC21x,ETC1Hx",SetParameters Project Name Label,Text,,Project Name :,
"ERC11x,EET,EKE1x,AK-CC55,ERC21x,ETC1Hx",SetParameters Project Name Value Label,Text,,Dynamic_controllerVariant,
"ERC11x,EET,EKE1x,AK-CC55,ERC21x,ETC1Hx",SetParameters Project  Description,Text,,Dynamic_controllerVariant,
